# Format : URL | libellé (libellé facultatif). Lignes # ignorées. Doublons ignorés.

# --- Fnac
https://www.fnac.com/Cartes-a-collectionner-Pokemon-30A-Coffret-Poster/a23200285/w-4 | Coffret Poster
https://www.fnac.com/Cartes-a-collectionner-Pokemon-30A-Pack-2-boosters/a23200298/w-4 | Pack 2 boosters
https://www.fnac.com/Cartes-a-collectionner-Pokemon-30A-Coffret-Nymphali-ex/a23200275/w-4 | Coffret Nymphali ex
https://www.fnac.com/Cartes-a-collectionner-Pokemon-30A-Coffret-Dresseur-d-Elite/a23200296/w-4 | Coffret Dresseur d'Élite
https://www.fnac.com/Cartes-a-collectionner-Pokemon-30A-Coffret-Amphinobi-ex/a23200310/w-4 | Coffret Amphinobi ex

# --- Cdiscount
https://www.cdiscount.com/juniors/jeux-de-societe-cartes/pokemon-30-ans-coffret-poster-30eme-anniversaire/f-120791604-pok196214147225.html | Coffret Poster
https://www.cdiscount.com/juniors/jeux-de-societe-cartes/pokemon-etb-coffret-dresseur-d-elite-30e-anniv/f-120791604-pok196214144835.html | Coffret Dresseur d'Élite

# --- Carrefour
https://www.carrefour.fr/p/coffret-pokemon-nymphali-ex-30e-anniversaire-pokemon-0196214147102 | Coffret Nymphali ex
https://www.carrefour.fr/p/coffret-pokemon-amphinobi-ex-30e-anniversaire-pokemon-0196214147164 | Coffret Amphinobi ex
https://www.carrefour.fr/p/pack-de-2-boosters-pokemon-30e-anniversaire-pokemon-0196214152311 | Pack 2 boosters
https://www.carrefour.fr/p/coffret-pokemon-collection-poster-30e-anniversaire-pokemon-0196214147225 | Coffret Poster

# --- JouéClub
https://www.joueclub.fr/pokemon/pokemon-30eme-anniversaire-coffret-4-boosters-amphinobi-ex-0196214147164.html | Coffret Amphinobi ex
https://www.joueclub.fr/pokemon/pokemon-30eme-anniversaire-coffret-4-boosters-nymphali-ex-0196214147102.html | Coffret Nymphali ex
https://www.joueclub.fr/pokemon/pokemon-30eme-anniversaire-2-boosters-evoli-0196214152311.html | Pack 2 boosters Évoli
https://www.joueclub.fr/pokemon/pokemon-30eme-anniversaire-coffret-collection-poster-0196214147225.html | Coffret Poster
https://www.joueclub.fr/pokemon/pokemon-30eme-anniversaire-coffret-dresseur-d-elite-0196214144835.html | Coffret Dresseur d'Élite

# --- King Jouet
https://www.king-jouet.com/jeu-jouet/jeux-societes/cartes-a-collectionner/ref-1034912-pokemon-30-ans-coffret-nymphali-ex.htm | Coffret Nymphali ex
https://www.king-jouet.com/jeu-jouet/jeux-societes/cartes-a-collectionner/ref-1034913-pokemon-30-ans-coffret-amphinobi-ex.htm | Coffret Amphinobi ex
https://www.king-jouet.com/jeu-jouet/jeux-societes/cartes-a-collectionner/ref-1034909-pokemon-30-ans-pack-de-2-boosters.htm | Pack 2 boosters
https://www.king-jouet.com/jeu-jouet/jeux-societes/cartes-a-collectionner/ref-1034914-pokemon-30-ans-coffret-poster.htm | Coffret Poster
https://www.king-jouet.com/jeu-jouet/jeux-societes/cartes-a-collectionner/ref-1034916-pokemon-30-ans-coffret-dresseur-d-elite.htm | Coffret Dresseur d'Élite

# --- Smyths
https://www.smythstoys.com/fr/fr-fr/jouets/jeux-de-societe-et-puzzles/cartes-a-collectionner/cartes-pokemon/pokemon-coffret-nymphali-ex-30eme-anniversaire/p/261788 | Coffret Nymphali ex
https://www.smythstoys.com/fr/fr-fr/jouets/jeux-de-societe-et-puzzles/cartes-a-collectionner/cartes-pokemon/pokemon-coffret-amphinobi-ex-30eme-anniversaire/p/261830 | Coffret Amphinobi ex
https://www.smythstoys.com/fr/fr-fr/jouets/jeux-de-societe-et-puzzles/cartes-a-collectionner/cartes-pokemon/pokemon-pack-2-boosters-30eme-anniversaire/p/261787 | Pack 2 boosters
https://www.smythstoys.com/fr/fr-fr/jouets/jeux-de-societe-et-puzzles/cartes-a-collectionner/cartes-pokemon/pokemon-coffret-collection-poster-30eme-anniversaire/p/261814 | Coffret Poster
https://www.smythstoys.com/fr/fr-fr/jouets/jeux-de-societe-et-puzzles/cartes-a-collectionner/cartes-pokemon/pokemon-coffret-dresseur-delite-30eme-anniversaire/p/261821 | Coffret Dresseur d'Élite
https://www.smythstoys.com/fr/fr-fr/marques/pokemon/pokemon-bundle-6-boosters-30eme-anniversaire/p/261769 | Bundle 6 boosters
https://www.smythstoys.com/fr/fr-fr/jouets/jeux-de-societe-et-puzzles/cartes-a-collectionner/cartes-pokemon/pokemon-portfolio-avec-boosters-modele-aleatoire/p/261831 | Portfolio avec boosters

# --- Coursesu
https://www.coursesu.com/p/coffret-ex-pokemon-asmodee/1833139.html | Coffret ex (réf. 1833139)
https://www.coursesu.com/p/coffret-poster-asmodee/1833238.html | Coffret Poster
https://www.coursesu.com/p/coffret-ex-pokemon-asmodee/1833056.html | Coffret ex (réf. 1833056)
https://www.coursesu.com/p/coffret-dresseur-asmodee/1833259.html | Coffret Dresseur d'Élite
https://www.coursesu.com/p/portfolio-5-boosters-asmodee/1833277.html | Portfolio 5 boosters
https://www.coursesu.com/p/pack-booster-x2-asmodee/1833297.html | Pack 2 boosters

# --- 1001hobbies
https://www.1001hobbies.fr/jeux-de-cartes-a-jouer/892556-pokemon-company-bm-258856-pokemon-30eme-anniversaire-2pack-promo--196214152311.html | Pack 2 boosters promo
https://www.1001hobbies.fr/jeux-de-cartes-a-jouer/892559-pokemon-company-bm-258857-pokemon-30eme-anniversaire-coffret-amphi-196214147164.html | Coffret Amphinobi ex
https://www.1001hobbies.fr/jeux-de-cartes-a-jouer/892558-pokemon-company-bm-258858-pokemon-30eme-anniversaire-coffret-nymph-196214147102.html | Coffret Nymphali ex
https://www.1001hobbies.fr/jeux-de-cartes-a-jouer/892561-pokemon-company-bm-258861-pokemon-30eme-anniversaire-elite-trainer-196214144835.html | Coffret Dresseur d'Élite
https://www.1001hobbies.fr/jeux-de-cartes-a-jouer/892555-pokemon-company-bm-258860-pokemon-30eme-anniversaire-collection-po-196214147225.html | Coffret Poster
https://www.1001hobbies.fr/jeux-de-cartes-a-jouer/892557-pokemon-company-bm-258863-pokemon-30eme-anniversaire-tin-box-2-vi-196214146907.html | Tin box
https://www.1001hobbies.fr/jeux-de-cartes-a-jouer/892560-pokemon-company-bm-258859-pokemon-30eme-anniversaire-collection-cl-196214145153.html | Collection (EAN 196214145153)
